City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
145,Dok Kham Tai,TH,2022-07-12 00:38:44,19.1624,99.9934,77.04,89,77,0.18
146,Komsomolskiy,UZ,2022-07-12 00:38:45,40.4272,71.7189,74.12,35,20,6.91
147,Ocos,GT,2022-07-12 00:38:45,14.5094,-92.1933,77.18,72,99,3.0
148,Salmas,IR,2022-07-12 00:38:45,38.1973,44.7653,66.85,36,0,4.16
149,Mindelo,CV,2022-07-12 00:38:46,16.8901,-24.9804,76.55,65,75,14.97
150,Sinjar,IQ,2022-07-12 00:38:46,36.3209,41.8754,81.32,41,0,7.31
151,Fairbanks,US,2022-07-12 00:38:46,64.8378,-147.7164,75.49,71,0,5.75
152,Batagay-Alyta,RU,2022-07-12 00:38:47,67.8006,130.4114,57.9,85,100,2.71
153,Salinopolis,BR,2022-07-12 00:38:47,-0.6136,-47.3561,78.35,84,14,7.81
154,Swan Hill,AU,2022-07-12 00:38:47,-35.3378,143.5544,49.42,78,96,4.99
155,Lodja,CD,2022-07-12 00:38:48,-3.4833,23.4333,70.38,42,14,0.67
156,Sylvan Lake,CA,2022-07-12 00:38:48,52.3168,-114.0853,74.77,50,0,12.66
157,Georgetown,MY,2022-07-12 00:34:52,5.4112,100.3354,78.73,94,40,0.0
158,Kodiak,US,2022-07-12 00:36:51,57.79,-152.4072,69.31,56,20,6.91
159,Tiksi,RU,2022-07-12 00:38:49,71.6872,128.8694,35.73,97,100,17.49
160,Alice Springs,AU,2022-07-12 00:38:49,-23.7,133.8833,49.55,40,0,5.75
161,Badulla,LK,2022-07-12 00:38:50,6.9895,81.0557,71.64,72,99,5.82
162,Pangai,TO,2022-07-12 00:38:51,-19.8,-174.35,82.51,74,20,17.27
163,Toora-Khem,RU,2022-07-12 00:38:51,52.4675,96.11,63.16,70,99,2.68
164,Bengkulu,ID,2022-07-12 00:38:51,-3.8004,102.2655,76.59,85,17,3.62
165,Meadow Lake,US,2022-07-12 00:38:52,34.8014,-106.5436,92.64,38,89,12.26
166,Galle,LK,2022-07-12 00:38:52,6.0367,80.217,79.38,83,94,12.97
167,Dingle,PH,2022-07-12 00:38:53,10.9995,122.6711,81.75,80,98,9.62
168,Clyde River,CA,2022-07-12 00:38:53,70.4692,-68.5914,41.23,93,100,19.57
169,Luwuk,ID,2022-07-12 00:38:54,-0.9516,122.7875,76.21,89,100,5.12
170,Romny,UA,2022-07-12 00:38:54,50.751,33.4747,54.48,92,32,11.39
171,Bilibino,RU,2022-07-12 00:38:54,68.0546,166.4372,71.76,39,100,4.63
172,Salumbar,IN,2022-07-12 00:38:55,24.1333,74.05,79.81,86,100,5.28
173,Mukhen,RU,2022-07-12 00:38:55,48.1,136.1,67.06,99,100,2.71
174,Neyshabur,IR,2022-07-12 00:38:55,36.2133,58.7958,73.29,21,0,2.84
175,Saint George,US,2022-07-12 00:35:51,37.1041,-113.5841,108.19,12,0,12.66
176,Mount Isa,AU,2022-07-12 00:38:56,-20.7333,139.5,56.97,33,5,11.5
177,Iquitos,PE,2022-07-12 00:34:49,-3.7481,-73.2472,78.84,89,20,3.44
178,Severo-Kurilsk,RU,2022-07-12 00:38:56,50.6789,156.125,59.97,84,23,6.98
179,Trinidad,BO,2022-07-12 00:36:04,-14.8333,-64.9,81.59,55,83,4.14
180,Arman,RU,2022-07-12 00:38:57,59.7,150.1667,80.02,67,18,5.82
