City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
364,Changji,CN,75.99,clear sky,44.0167,87.3167,Lvye Holiday Resort
366,Narasannapeta,IN,77.79,moderate rain,18.4167,84.05,AVK events and catering
373,Botou,CN,72.19,scattered clouds,38.0667,116.5667,Hanting Hotel Huanghua City Hall
376,Lagoa,PT,70.29,clear sky,39.05,-27.9833,Casa Das Faias
379,Bengkulu,ID,75.45,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
386,Nantucket,US,77.11,overcast clouds,41.2835,-70.0995,Jared Coffin House
388,Ubud,ID,76.32,overcast clouds,-8.5098,115.2654,Maya Ubud Resort & Spa
390,Kyaikto,MM,78.21,moderate rain,17.3,97.0167,နီလာ တည်းခိုခန်း
393,Lubao,PH,78.51,overcast clouds,14.9167,120.55,Hacienda Gracia
396,Dingle,PH,75.69,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
397,Tanga,TZ,72.0,overcast clouds,-5.0667,39.1,Lulu Image Hotel
399,Churapcha,RU,73.63,scattered clouds,62.0025,132.4325,"""Tusku"""
400,Shimoda,JP,71.1,light rain,34.6667,138.95,Shimoda Tokyu Hotel
402,Mahon,ES,77.56,clear sky,39.8885,4.2658,ARTIEM Capri
404,Daloa,CI,71.74,light rain,6.8774,-6.4502,Imans Hotel Daloa
410,Assomada,CV,72.95,scattered clouds,15.1,-23.6833,Residencial Cosmos
412,Natal,BR,77.22,moderate rain,-5.795,-35.2094,Villa Park Hotel | Natal
413,Bonoua,CI,74.82,overcast clouds,5.2741,-3.595,Hotel Bon Samaritian
417,Rosetta,EG,76.5,clear sky,31.4044,30.4164,Green Valley
422,Yarada,IN,79.12,drizzle,17.65,83.2667,Yarada Jungle Beach Resorts
424,Noumea,NC,71.01,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
426,Qui Nhon,VN,79.81,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
427,Maragogi,BR,74.35,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
431,Cukai,MY,78.75,overcast clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
432,Prabumulih,ID,72.86,overcast clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
440,Shingu,JP,75.18,clear sky,33.7333,135.9833,Shingu UI Hotel
441,Katol,IN,77.59,overcast clouds,21.2667,78.5833,Rocks Celibration lawn
445,Banda Aceh,ID,79.02,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
447,Meulaboh,ID,76.57,overcast clouds,4.1363,96.1285,Kost Pria
451,Sao Jose Da Coroa Grande,BR,74.7,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
455,Gorgan,IR,75.16,clear sky,36.8387,54.4348,Khayyam Motel
463,Pantai Remis,MY,78.82,overcast clouds,4.4557,100.6288,Leisure Homestay
464,Athabasca,CA,78.91,clear sky,54.7169,-113.2854,Athabasca Lodge Motel
470,Banjar,ID,75.31,scattered clouds,-8.19,114.9675,The Hamsa Resort
471,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
475,Hobyo,SO,77.09,broken clouds,5.3505,48.5268,Iftin hotel hobyo
476,Ilog,PH,76.55,overcast clouds,10.0266,122.7684,De Asis Fish Farm
480,Cururupu,BR,77.63,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
481,Kaduna,NG,70.36,overcast clouds,10.5222,7.4383,HAMDALA HOTEL
483,Bandarbeyla,SO,77.79,broken clouds,9.4942,50.8122,JABIR HOTEL
485,Santa Maria Da Vitoria,BR,78.06,clear sky,-13.3947,-44.1886,Pousada Rio Current
492,Kloulklubed,PW,79.3,moderate rain,7.0419,134.2556,Storyboard Beach Resort
493,Anloga,GH,76.17,overcast clouds,5.7947,0.8973,Pin Drop Hotel
496,Salalah,OM,78.91,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
497,Shenjiamen,CN,77.27,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
500,Pakxan,LA,76.73,broken clouds,18.3778,103.6601,Kong Kham Pheng Guesthouse
502,Kangaba,ML,75.36,moderate rain,11.9333,-8.4167,CAF (case de l´amitié et de la fraternité)
514,Mandiana,GN,74.19,moderate rain,10.6333,-8.6833,Motels rouzo
518,Gaoual,GN,76.64,light rain,11.75,-13.2,Hotel koliba
524,Upata,VE,75.2,overcast clouds,8.0086,-62.3989,Posada Villa Nela
529,Pokhara,NP,75.22,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
536,Yanam,IN,76.24,overcast clouds,16.7333,82.2167,The Regency Hotel
537,North Bend,US,70.92,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
538,Parauna,BR,79.39,scattered clouds,-16.9478,-50.4486,Hotel Serras de Paraúna
540,Gigmoto,PH,79.97,overcast clouds,13.7796,124.39,Cj's Travellers Inn
545,Bonthe,SL,77.34,broken clouds,7.5264,-12.505,Bonthe Holiday Village
546,Shihezi,CN,75.79,clear sky,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
549,Peniche,PT,70.09,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
556,Mabaruma,GY,79.88,broken clouds,8.2,-59.7833,Monty Brooms Guest House
560,Dicabisagan,PH,78.64,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
561,Dayong,CN,79.88,overcast clouds,25.0209,118.2898,Haiyue Express Hotel
578,Porto Novo,BJ,75.72,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
580,Praia,CV,77.54,scattered clouds,14.9215,-23.5087,LT Aparthotel
586,Mlonggo,ID,76.42,overcast clouds,-6.5333,110.7,Asia Metal Art
594,Tezu,IN,77.94,light rain,27.9167,96.1667,Circuit House
597,Mudon,MM,76.68,light rain,16.2578,97.7164,Motel Mudon
602,Iwaki,JP,74.77,overcast clouds,37.05,140.8833,Toyoko Inn Iwaki Ekimae
603,Nador,MA,79.05,clear sky,35.174,-2.9287,Hôtel La Giralda
605,Phan Thiet,VN,77.16,broken clouds,10.9333,108.1,Hotel Saigon-PT
606,Joao Neiva,BR,72.07,clear sky,-19.7575,-40.3856,Cabanha Santa Cypriana_Felicidade nas coisas simples!
607,Cascais,PT,75.51,few clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
613,Manggar,ID,79.11,overcast clouds,-2.8833,108.2667,Guest Hotel
614,Santa Isabel,BR,78.1,overcast clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
615,Vapi,IN,79.43,overcast clouds,20.3718,72.9049,Hotel Dan
621,Peruibe,BR,77.47,overcast clouds,-24.32,-46.9983,Hotel Pousada Xapuri
622,Bokovskaya,RU,70.05,overcast clouds,49.229,41.8306,Gostinitsa Stanitsa
623,Colares,PT,75.33,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
627,San Quintin,MX,73.94,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
628,Buedu,SL,70.86,light rain,8.2803,-10.3719,Luawa resort
643,Namatanai,PG,79.09,light rain,-3.6667,152.4333,Seagulls Inn Namatani
644,Kampot,KH,77.05,scattered clouds,10.6167,104.1833,Two Moons Hotel
652,Oistins,BB,77.09,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
660,Moanda,GA,78.51,broken clouds,-1.5575,13.2178,Heliconia Stadium Moanda
664,Nabire,ID,75.18,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
665,Nanchong,CN,77.27,overcast clouds,30.7951,106.0847,Marine Una Century Hotel
674,Macae,BR,76.75,clear sky,-22.3708,-41.7869,Golden Tulip Macaé
