City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
105,Mahmudia,RO,45.0833,29.0833,72.14,73,41,3.87,scattered clouds
106,Bayir,TR,37.2687,28.2167,73.92,28,0,6.38,clear sky
107,Tchollire,CM,8.4022,14.1698,72.57,94,100,3.22,moderate rain
108,Tuatapere,NZ,-46.1333,167.6833,43.52,87,100,9.06,overcast clouds
109,Flinders,AU,-34.5833,150.8552,59.25,57,0,9.55,clear sky
110,Hammerfest,NO,70.6634,23.6821,48.65,100,100,5.75,moderate rain
111,Port Macquarie,AU,-31.4333,152.9167,44.89,68,90,7.7,overcast clouds
112,Dakoro,NE,14.5106,6.765,85.5,52,98,4.38,overcast clouds
113,Sola,VU,-13.8833,167.55,80.19,76,65,22.64,broken clouds
114,Kurilsk,RU,45.2333,147.8833,55.87,91,100,10.51,overcast clouds
115,Cidreira,BR,-30.1811,-50.2056,65.73,93,55,5.28,moderate rain
116,Yamada,JP,39.4667,141.95,70.9,99,100,2.46,overcast clouds
117,Poum,NC,-20.2333,164.0167,70.45,63,49,15.32,scattered clouds
118,Kismayo,SO,-0.3582,42.5454,75.6,81,100,17.9,overcast clouds
119,Bakel,SN,14.905,-12.4568,94.35,45,52,8.34,broken clouds
120,Jamestown,US,42.097,-79.2353,83.01,42,0,8.99,clear sky
121,Broken Hill,AU,-31.95,141.4333,44.35,40,0,12.24,clear sky
122,Changping,CN,40.2186,116.2197,73.04,69,93,2.64,overcast clouds
123,Marystown,CA,47.1666,-55.1483,69.85,100,21,8.99,few clouds
124,Chama,CH,47.1821,8.4636,73.56,52,0,0.0,clear sky
125,Sao Filipe,CV,14.8961,-24.4956,75.79,83,18,6.73,few clouds
126,Pueblo,US,38.2545,-104.6091,100.49,25,40,8.05,scattered clouds
127,Kodiak,US,57.79,-152.4072,63.91,72,20,3.44,few clouds
128,Karratha,AU,-20.7377,116.8463,63.45,52,2,5.64,clear sky
129,Volkach,DE,49.8667,10.2333,62.87,59,17,4.16,few clouds
130,Pavilosta,LV,56.8879,21.1859,51.71,69,58,9.24,broken clouds
131,Rio Gallegos,AR,-51.6226,-69.2181,32.05,100,100,3.44,light intensity drizzle rain
132,Goiatuba,BR,-18.0125,-49.3547,76.51,31,41,2.84,scattered clouds
133,Paita,PE,-5.0892,-81.1144,67.26,74,1,19.93,clear sky
134,Ancud,CL,-41.8697,-73.8203,43.23,90,100,23.47,moderate rain
135,Yellowknife,CA,62.456,-114.3525,66.72,82,75,3.44,light intensity shower rain
136,Placido De Castro,BR,-10.3353,-67.1856,87.46,51,99,3.67,overcast clouds
137,Riviere-Au-Renard,CA,48.9957,-64.3971,67.57,69,83,7.65,light rain
138,Manokwari,ID,-0.8667,134.0833,77.36,80,94,4.92,overcast clouds
139,Ginda,IN,30.6945,78.4932,67.62,88,92,0.25,overcast clouds
140,Kavaratti,IN,10.5669,72.642,81.68,79,100,15.37,overcast clouds
141,Geraldton,AU,-28.7667,114.6,55.81,82,100,0.0,overcast clouds
142,Yulara,AU,-25.2406,130.9889,48.56,26,50,5.5,scattered clouds
143,Mount Isa,AU,-20.7333,139.5,42.57,87,0,0.0,clear sky
144,Bitung,ID,1.4451,125.1824,76.05,85,100,8.86,overcast clouds
145,Atar,MR,20.5169,-13.0499,102.36,8,48,9.37,scattered clouds
146,Redwater,US,33.3582,-94.2544,100.69,24,1,6.13,clear sky
147,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,78,0,9.22,clear sky
148,Beringovskiy,RU,63.05,179.3167,55.94,70,68,6.51,broken clouds
149,Bathsheba,BB,13.2167,-59.5167,77.61,97,75,12.66,broken clouds
150,Bilibino,RU,68.0546,166.4372,55.2,61,50,15.37,scattered clouds
151,Madimba,TZ,-10.4,40.3333,69.21,84,1,9.33,clear sky
152,La Baule-Escoublac,FR,47.2922,-2.364,78.46,44,0,6.91,clear sky
153,Arriana,GR,41.0833,25.7,76.35,55,0,2.86,clear sky
154,Mar Del Plata,AR,-38.0023,-57.5575,48.22,70,75,13.8,broken clouds
155,Port Hardy,CA,50.6996,-127.4199,57.38,88,100,2.3,light intensity shower rain
156,Chapais,CA,49.7834,-74.8492,64.18,58,70,8.14,broken clouds
157,Bilma,NE,18.6853,12.9164,90.97,37,1,1.79,clear sky
158,Airai,TL,-8.9266,125.4092,54.95,91,73,4.0,broken clouds
159,Ossora,RU,59.2353,163.0719,63.37,76,83,6.33,broken clouds
160,Faanui,PF,-16.4833,-151.75,76.96,67,73,25.03,broken clouds
161,Westport,US,41.1415,-73.3579,80.89,80,0,8.05,clear sky
162,Oranjemund,NA,-28.55,16.4333,69.12,30,0,5.68,clear sky
163,Tuktoyaktuk,CA,69.4541,-133.0374,57.13,49,73,13.04,broken clouds
164,Biu,NG,10.6129,12.1946,71.53,84,86,3.11,overcast clouds
165,Matara,LK,5.9485,80.5353,76.91,91,100,6.85,overcast clouds
166,Seymchan,RU,62.8833,152.4333,69.73,78,81,2.75,broken clouds
167,Waterloo,CA,43.4668,-80.5164,86.65,31,0,6.91,clear sky
168,Henties Bay,NA,-22.116,14.2845,65.61,50,0,3.38,clear sky
169,Abu Dhabi,AE,24.4667,54.3667,96.82,59,0,5.75,clear sky
170,Paamiut,GL,61.994,-49.6678,41.41,84,93,10.33,overcast clouds
171,Lasa,IT,46.6166,10.7002,63.81,79,0,5.17,clear sky
172,Saldanha,ZA,-33.0117,17.9442,63.39,44,20,9.89,few clouds
